ID,ID_STATE,CITY,COUNTY,LATITUDE,LONGITUDE
2063,5,Forbestown,Butte,40,-121
2064,5,Forest Falls,San Bernardino,34,-117
2065,5,Forest Knolls,Marin,38,-123
2066,5,Forest Ranch,Butte,40,-122
2067,5,Foresthill,Placer,39,-121
2068,5,Forestville,Sonoma,38,-123
2069,5,Forks Of Salmon,Siskiyou,41,-123
2070,5,Fort Bidwell,Modoc,42,-120
2071,5,Fort Bragg,Mendocino,39,-124
2072,5,Fort Dick,Del Norte,42,-124
2073,5,Fort Irwin,San Bernardino,35,-117
2074,5,Fort Jones,Siskiyou,42,-123
2075,5,Fortuna,Humboldt,41,-124
2076,5,Fountain Valley,Orange,34,-118
2077,5,Fowler,Fresno,37,-120
2078,5,Frazier Park,Kern,35,-119
2079,5,Freedom,Santa Cruz,37,-122
2080,5,Fremont,Alameda,38,-122
2081,5,French Camp,San Joaquin,38,-121
2082,5,French Gulch,Shasta,41,-123
2083,5,Fresno,Fresno,37,-120
2084,5,Friant,Fresno,37,-120
2085,5,Fullerton,Orange,34,-118
2086,5,Fulton,Sonoma,38,-123
2087,5,Galt,Sacramento,38,-121
2088,5,Garberville,Humboldt,40,-124
2089,5,Garden Grove,Orange,34,-118
2090,5,Garden Valley,El Dorado,39,-121
2091,5,Gardena,Los Angeles,34,-118
2092,5,Gasquet,Del Norte,42,-124
2093,5,Gazelle,Siskiyou,42,-123
2094,5,Georgetown,El Dorado,39,-121
2095,5,Gerber,Tehama,40,-122
2096,5,Geyserville,Sonoma,39,-123
2097,5,Gilroy,Santa Clara,37,-122
2098,5,Glen Ellen,Sonoma,38,-123
2099,5,Glencoe,Calaveras,38,-121
2100,5,Glendale,Los Angeles,34,-118
2101,5,Glendora,Los Angeles,34,-118
2102,5,Glenhaven,Lake,39,-123
2103,5,Glenn,Glenn,40,-122
2104,5,Glennville,Kern,36,-119
2105,5,Gold Run,Placer,39,-121
2106,5,Goleta,Santa Barbara,34,-120
2107,5,Gonzales,Monterey,36,-121
2108,5,Goodyears Bar,Sierra,40,-121
2109,5,Goshen,Tulare,36,-119
2110,5,Granada Hills,Los Angeles,34,-118
2111,5,Grand Terrace,San Bernardino,34,-117
2112,5,Granite Bay,Placer,39,-121
2113,5,Grass Valley,Nevada,39,-121
2114,5,Graton,Sonoma,38,-123
2115,5,Green Valley Lake,San Bernardino,34,-117
2116,5,Greenbrae,Marin,38,-123
2117,5,Greenfield,Monterey,36,-121
2118,5,Greenview,Siskiyou,42,-123
2119,5,Greenville,Plumas,40,-121
2120,5,Greenwood,El Dorado,39,-121
2121,5,Grenada,Siskiyou,42,-123
2122,5,Gridley,Butte,39,-122
2123,5,Grimes,Colusa,39,-122
2124,5,Grizzly Flats,El Dorado,39,-121
2125,5,Groveland,Tuolumne,38,-120
2126,5,Grover Beach,San Luis Obispo,35,-121
2127,5,Guadalupe,Santa Barbara,35,-121
2128,5,Gualala,Mendocino,39,-124
2129,5,Guasti,San Bernardino,34,-118
2130,5,Guatay,San Diego,33,-117
